template_name,ablation_id,split,source_path,output_path,rubric_mode,rows,expected_rows,status
A0_answer_only,A0,train,thesis_exp/data/splits/paper_like_triple_seed42/train.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A0_answer_only/train.jsonl,proposed,2654,2654,PASS
A0_answer_only,A0,dev,thesis_exp/data/splits/paper_like_triple_seed42/dev.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A0_answer_only/dev.jsonl,proposed,664,664,PASS
A0_answer_only,A0,test,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A0_answer_only/test.jsonl,proposed,2218,2218,PASS
A1_question_answer,A1,train,thesis_exp/data/splits/paper_like_triple_seed42/train.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A1_question_answer/train.jsonl,proposed,2654,2654,PASS
A1_question_answer,A1,dev,thesis_exp/data/splits/paper_like_triple_seed42/dev.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A1_question_answer/dev.jsonl,proposed,664,664,PASS
A1_question_answer,A1,test,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A1_question_answer/test.jsonl,proposed,2218,2218,PASS
A2_question_answer_metric,A2,train,thesis_exp/data/splits/paper_like_triple_seed42/train.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A2_question_answer_metric/train.jsonl,proposed,2654,2654,PASS
A2_question_answer_metric,A2,dev,thesis_exp/data/splits/paper_like_triple_seed42/dev.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A2_question_answer_metric/dev.jsonl,proposed,664,664,PASS
A2_question_answer_metric,A2,test,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A2_question_answer_metric/test.jsonl,proposed,2218,2218,PASS
A3_question_answer_metric_rubric,A3,train,thesis_exp/data/splits/paper_like_triple_seed42/train.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A3_question_answer_metric_rubric/train.jsonl,proposed,2654,2654,PASS
A3_question_answer_metric_rubric,A3,dev,thesis_exp/data/splits/paper_like_triple_seed42/dev.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A3_question_answer_metric_rubric/dev.jsonl,proposed,664,664,PASS
A3_question_answer_metric_rubric,A3,test,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A3_question_answer_metric_rubric/test.jsonl,proposed,2218,2218,PASS
A4_question_answer_metric_rubric_metadata,A4,train,thesis_exp/data/splits/paper_like_triple_seed42/train.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A4_question_answer_metric_rubric_metadata/train.jsonl,proposed,2654,2654,PASS
A4_question_answer_metric_rubric_metadata,A4,dev,thesis_exp/data/splits/paper_like_triple_seed42/dev.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A4_question_answer_metric_rubric_metadata/dev.jsonl,proposed,664,664,PASS
A4_question_answer_metric_rubric_metadata,A4,test,thesis_exp/data/splits/paper_like_triple_seed42/test.jsonl,thesis_exp/outputs/exp03_input_ablation/datasets/A4_question_answer_metric_rubric_metadata/test.jsonl,proposed,2218,2218,PASS
